District,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Etobicoke,Rexdale,43.7213619,-79.5655129,2,Fast Food Restaurant,Coffee Shop,Department Store,Salon / Barbershop,Bakery,Clothing Store,Sandwich Place,Pizza Place,Convenience Store,Event Space
Etobicoke,Richview,43.6886113,-79.54283120000001,2,Supplement Shop,Baseball Field,Intersection,Park,Zoo,Field,Ethiopian Restaurant,Event Space,Exhibit,Falafel Restaurant
Etobicoke,Smithfield,43.6311185,-79.48566020000001,2,Coffee Shop,Grocery Store,Furniture / Home Store,Fried Chicken Joint,Light Rail Station,Liquor Store,Chinese Restaurant,Bank,Spa,Sandwich Place
Etobicoke,Stonegate-Queensway,43.62195,-79.5234993,2,Coffee Shop,Burrito Place,Gym,BBQ Joint,American Restaurant,Sandwich Place,Liquor Store,Grocery Store,Bank,Optical Shop
Etobicoke,Sunnylea,43.64159705,-79.50166497321379,2,Poutine Place,Business Service,Field,Empanada Restaurant,Ethiopian Restaurant,Event Space,Exhibit,Falafel Restaurant,Farm,Farmers Market
Etobicoke,Thistletown,43.7372656,-79.56531690000001,2,Indian Restaurant,Caribbean Restaurant,Thai Restaurant,Asian Restaurant,Fast Food Restaurant,Bank,Pharmacy,Supermarket,Coffee Shop,Pizza Place
Etobicoke,Thorncrest Village,43.6592355,-79.5297762,2,Pharmacy,Grocery Store,Skating Rink,Bank,Park,Café,Shopping Mall,Falafel Restaurant,Electronics Store,Empanada Restaurant
Etobicoke,West Humber-Clairville,43.714510000000075,-79.59291999999994,2,Hotel,Chinese Restaurant,Mediterranean Restaurant,Gym / Fitness Center,Paper / Office Supplies Store,Sandwich Place,Clothing Store,Coffee Shop,Rental Car Location,Swiss Restaurant
Etobicoke,West Deane Park,43.6631995,-79.5685684,2,Convenience Store,Electronics Store,Park,Garden,Skating Rink,Farmers Market,Empanada Restaurant,Ethiopian Restaurant,Event Space,Exhibit
Etobicoke,Willowridge,43.6755594,-79.5698955132183,2,Park,Intersection,Athletics & Sports,Beer Store,Zoo,Fast Food Restaurant,Empanada Restaurant,Ethiopian Restaurant,Event Space,Exhibit
North York,Amesbury,43.7061619,-79.4834918540464,2,Coffee Shop,Supermarket,Park,Chinese Restaurant,Bank,Bakery,Grocery Store,Sandwich Place,Gym / Fitness Center,Athletics & Sports
North York,Armour Heights,43.7439436,-79.43085119999999,2,Pharmacy,Bank,Locksmith,Deli / Bodega,Italian Restaurant,Café,Other Great Outdoors,Fast Food Restaurant,Ethiopian Restaurant,Event Space
North York,Bathurst Manor,43.76389295,-79.4563669371095,2,Convenience Store,Playground,Men's Store,Baseball Field,Park,Zoo,Field,Ethiopian Restaurant,Event Space,Exhibit
North York,Bayview Village,43.7691966,-79.37666170000001,0,Coffee Shop,Furniture / Home Store,Shoe Store,Gift Shop,Cosmetics Shop,Moving Target,Gas Station,Pet Store,Liquor Store,Breakfast Spot
North York,Bayview Woods – Steeles,43.7981268,-79.38297259999999,2,Park,Dog Run,Gaming Cafe,Music Store,Zoo,Fast Food Restaurant,Empanada Restaurant,Ethiopian Restaurant,Event Space,Exhibit
North York,Bermondsey,43.725404499999996,-79.3136935,2,Portuguese Restaurant,Coffee Shop,Sporting Goods Shop,Pizza Place,Park,Hockey Arena,Electronics Store,Empanada Restaurant,Ethiopian Restaurant,Event Space
